Title,Item Description,Hyperlink,Contributor,Date
"Fluffy Cat's tail,",Also available in digital form.,https://www.loc.gov/item/32000328/,"Sample, Anna Eliza", 1931
Pennsylvania wild cats,Also available in digital form.,https://www.loc.gov/item/16008237/,"Shoemaker, Henry W.", 1916
Kitty-cat tales,NA,https://www.loc.gov/item/32010533/,"Keyes, Homer Eaton - Carrick, Alice Van Leer - Davidson, Bertha G.",NA
"Kitty-cat tales,",NA,https://www.loc.gov/item/07027609/,"Carrick, Alice Van Leer",NA
Cats and dogs.,NA,https://www.loc.gov/item/21018296/,NA,NA
"Pussy-cat town,",NA,https://www.loc.gov/item/06034815/,"Taggart, Marion Ames - Chase, Rebecca",NA
Cat and Dog Fight,NA,https://www.loc.gov/item/lomaxbib000214/,"Lomax, Ruby T. (Ruby Terrill) - Lomax, John A. (John Avery) - Evans, Lawrence", 1939-05-11
Lives of two cats;,NA,https://www.loc.gov/item/01029402/,"Loti, Pierre",NA
The alley cat's kitten,NA,https://www.loc.gov/item/04028966/,"Fuller, Caroline",NA
"The Christmas cat,",NA,https://www.loc.gov/item/02030148/,"Bryant, Anna Burnham",NA
The Old Black Cat,NA,https://www.loc.gov/item/flwpa000088/,"Kennedy, Stetson - Nelson, Naomi - Cook, Robert Harrison", 1940-01-15
"Cat Story, The",NA,https://www.loc.gov/item/lomaxbib000207/,"Platt, Mose ""Clear Rock"" - Lomax, Ruby T. (Ruby Terrill) - Lomax, John A. (John Avery)", 1939-05-10
The vampire cat ...,Also available in digital form.,https://www.loc.gov/item/unk84202473/,"Van Etten, Gerard", 1918
